"Password","incorrect","prefixSalt","suffixSalt","twoSubstitution","twoInsertion","twoDeletion","twoCapMistake","twoSubstitutionDifference","twoInsertionDifference","twoDeletionDiffernce","twoCapDifference","incorrectDifference"
"2f!k%dnwks","DR^ce7TNtnm","7d3zcZtFzJCZOLqp47Ai8CWJa","4lBjPNxkHRqIwR2BKjc9oztRx","2(!f%dnwks","2f!k_%dnIwks","2f!%dnws","2f!k%dnwKS",135,147,183,90,190
"qGqlof+ixj4","if1f$S-Rt)z","qU2DyUh9iLYWd9bb0cY3PeCsB","GrbftrlIoFkXooDbamxdTK3pt","q6zlof+ixj4","qGq{lo^f+ixj4","qGlof+ixj","qXQLOF+Igj4",170,209,282,349,279
"nBs6#sunhpwA","jtbdmg~1m%<","w8OdQY6hGptdm7EZZtonZocUh","zqmWLJkl+coX7WkBLIddKOZCE","nBs6#s{'hpwA","nBsO6#6sunhpwA","nBs6#sunhp","nBs6#SUNhpwA",88,148,95,103,393
"Exs9XsMs#FZ","5n#(!izqpe]","d0FfQm6pa+TdcfWOwO7G/4pVv","djtgUokwHHZoFl+F1t+phQblp","Exs9lvMs#FZ","Exs9;XsMs_#FZ","ExsXsM#FZ","EXS9XsMs#FZ",210,108,204,213,266
"0fs%)jjv\9","^NqqE71s)/","7cATp0msEL7d1Uk2aTHYawYaD","6p7wJIqJbb2C9+4l0kG3pyZLy","0fs%)jjv$9","0f[s%)}jjv\9","0s%)jv\9","0fS%)JJV\9",72,101,118,130,161
"7@rs+UhgRae","tvl=d5.oy((","RHg7PvHIlU8TtLpnhtjiQaWCh","TZbz8qlNlFWqMXdRJBSCPDjRt","7@rL+UhgRpe","7@rs+U}hgR2ae","7rs+hgRae","7@rs+UhGrae",131,134,291,308,220
"4-fuadweH!g","7eW$nwMljwfu","wtzfXcbp+L1IseD1IHj5RVRFF","dk4n4zpUfoiD6+6HuaSD/Qhlw","6ZfuadweH!g","4-fuadw""eH!ag","4uadweH!g","4-FUADWEH!G",61,164,167,205,272
"|vkE}]s0Ct","1Zk+Wjgzkg","6OwTpomLNMjQ+fDqOPtcqk5UF","KcJtVWQkhp9QnN5ygzWeJdLru","|vkE}]a0C?","|vkE}9]s0uCt","kE}]s0Ct","|CKE}]S0Vt",127,199,73,144,172
"zlyj|ugd5Ox","n86suj6^^P","i/QYwdAT6UYECK1jnxNJQfK28","mYe1PGkCrfTR7OuLJUzrnmF3R","zRy)|ugd5Ox","z'lyj/|ugd5Ox","zlyj|d5Ox","zlyj|OGD5Ux",270,196,90,349,429
"0?x9S!z4nv","|:eaI#!a(4","LB2vSH2LhekXfr+cmcjbd8rhH","ka1yEaa/cdrLz0/tE/ENN9sIc","Q?x9S!z4n""","0?x9Sf!z4:nv","0?S!z4nv","0?x9ss!z4nv",131,239,102,145,216
"L^TW/3stYpI","|W@ga4csnqr","NoYdbNiW+PDS0T6jUWZO5Hd2b","PDinvhi/tvhsNf8JP7YlMT69z","L^TS/3stGpI","L(^TW/3st1YpI","L^TW/sYpI","L^TW/3sTypI",316,137,155,281,256
"3mZNrF{znw","Dfm8m6mW-BZ","2cQhamak1GtF76OyYKlOu9hhi","P/C+JAeadAffMJYTZDmGAP0Jn","wmZhrF{znw","93mZNr*F{znw","3mZNr{nw","3mZNRF{Znw",111,224,104,131,337
"i3BpV7Zsq=o","f\X5vRTGpT","ggocua53ODYwSvbiNUs3FIJow","8xE7k7FM/1UzjF0B9W7CcWJFO","B3BpV7Zzq=o","ui3RBpV7Zsq=o","i3pV7Zs=o","i3Bpv7zSq=o",185,217,155,103,197
">k+fsr0Mcd","Bot8mu*(qob","7q4Rpa/qXQDteFxpaGo6gHZcs","soMbIwczBwA7fkIIGp80pzwWA",">k$f|r0Mcd",">k+6fsr0Mc/d",">+fsr0Mc",">k+DSR0MCF",82,315,146,228,182
"?u8h6[v^hE","/rkz:3<:mZ.","Bw4eyl1qQ0f8REAP/53FUVGxi","yoYBqIyxpgSn5Qd8ZrlrB7gms","0f8h6[v^hE","?uG8h6[vc^hE","?uh6[v^E","?U8H6[V^HE",168,313,122,158,193
"j2h0qIoue&","r<DEx@vDh9","CApudtijfWq8EkPXhEahPmE7G","/1tgms3AF48XPqVsZGi73VWBT","v2h0qIoue'","j2h00qIouke&","2h0Ioue&","j2h0qIEUO&",65,113,97,91,235
"<HTGJyk6#Sr","txv3.E8a{n","u+FXJpeSpjxCDbqgvOGaB3rr5","hl0207iOmVaxHyNH+bRRS84fX","<&TGJyk6ISr","<+HfTGJyk6#Sr","<TGJyk6#S","<HTGJYK6#Sr",129,141,283,129,292
"fccelu.gy8","&A;tH.+g53","RBmvA/M5y1GCRhitGXsRv4CCl","p+HDEOAQC6y/Y4KyxmgS5o1i7","fccelu.g6<","fcjcelu.guy8","fcclu.g8","fccELU.gy8",124,178,134,126,201
"z!D-gZ0aQ?","?dFiioa]e7B","ScgCNmuoiM8Bgr8eMESqkPyet","Aj+GosApNyQi6vsV7zNJib8Fw","z!D-gZoUQ?","z!D1-ggZ0aQ?","z!D-g0Q?","z!D-GZ0AQ?",131,292,122,273,219
"f!E0z}quoL","zgunZt~8mqS","FmhFnq+zmvOJF7nezRQ+fk8oL","cdlvp8ZgQwsEFTDrwaLZ5dwnh","fj60z}quoL","f!HE0z}qZuoL","f!E0zuoL","F!E0Z}QuoL",51,85,51,106,135
"0o~q|?tm@[","ez@9g:L`g~","8DOi+pZWhx05lSwIVMe1r6wJh","8HgYtD+mzpD1WhzUE4rb3jEyM","0-~q|?tm@P","Y0o(~q|?tm@[","0o~q?tm[","0O~Q|?Tm@[",87,83,118,113,216
"vvQ6=bsa9!","w?2+jlG*d5","DAbUuU4pVYad7gF+sXjb1prdJ","qdn61vpQGFYIlOsDZNpE5PHwc","vvQ@=bsa9;","vIvQl6=bsa9!","vvQ6=sa9","vvqq6=bsa9!",117,173,147,257,199
"o9d;pyzi/RV","-U68zV>KUf","qNYbQaijkvh3dFL8by3iY0pzt","BWrc/n4i7Cdfzgzzee81fKsXJ","}9d;pyziURV","oP9@d;pyzi/RV","9;pyzi/RV","o9d;pyZI/rV",93,156,90,218,165
"cU4wV<x:vR$","yS!dm9cr#je","TcHhP9YY5GrYWbrmXzAEAC3pk","J8/H4CxFqIarYHeRtCi8HdoUa","cQ4wY<x:vR$","cU4wV<x):vXR$","cU4wVxvR$","cU4wV<V:XR$",82,238,110,113,231
"fdpunY4csw|J","d6s8n-<giu","6ffHvBzBAIsX9MD8t4sI1sT8/","mJ/luZrzJGB3DkMwUA9K4AxP4","fdpugY4csw[J","fdpu!nY4cs1w|J","fdunYcsw|J","fdNUPY4csw|J",189,339,169,90,213
"eGfoUa@WL5v","9G{cd}H?#p","0ID+7UNadX2RV0QhnyDKiCfy2","YKl9faLcwYjv/lNGYmdCw9rWD","eGfoCa@WQ5v","5eGfoUaK@WL5v","efoUa@WLv","eGFOUA@wL5v",197,233,262,154,252
"E@cwqrAUSV9",">]ftz^j(x2m","9cBJiVwT9R8T7zK1BNwOx+ddh","9PgfsGI6sfgAJL0rhdLZKyEcK","E@cwqrAUXV9","E@cwq3rAUnSV9","@cwqrAUV9","V@CWQRAUSe9",75,206,241,382,273
"#v}BDTmin9","Fz0odn6ai)","3VGOZ/GCIGkbGfFQsNEuOLibW","Y8OJ/NOIOZCt2ckZuj56blbgA","#v}BDTjin=","#0v}BD""Tmin9","#}BTmin9","#v}tdbmin9",84,167,174,84,132
"\r?eW!.o1~","t{vj6Vpvuzz","kPtY/FY8+DwgZmR1oxyxLX7Z4","1GkndvS/g/ISXdUX16jj1BbpS","\rfSW!.o1~","\%rN?eW!.o1~","\reW!.o1","\r?EEW!.o1~",112,83,107,167,135
"Y#!BgOXu3h^","-UG2en\d:&]","oAcydoXJGAtb7gXpXsYlhzha/","ex4E2OFylfXQQc+AhSrYjyhZz","Y=!Bg>Xu3h^","Yk#!BgOXu23h^","Y#BgOXuh^","Y#!BGOxu3h^",139,131,108,58,219
"v\4Dc+$na+m","of8agR|gmP","UpdcVzuEvde2YRdXeeA9/miNm","MYPvVBcLmAUAwq9grxIi9gcS6","v\4Dc+$<a+m","1v\4Dc+$na+cm","v\4Dc+$a+","v\4Dc+$nM+A",39,176,298,165,400
"[CURC5ePMOE","kz3Nonou;w!","2fA1bDl8ouhwcIKHCLCha8UKd","eeZ7riB5skGFS74XgoG2KVeOv","[CU3C5!PMOE","[CCURHC5ePMOE","[URC5eMOE","[CURC5ePeom",225,103,228,214,220
"b5_.mrfxjzd","%xFQdCe9Um","IfTcq2hhZMRCQ1XABBGddW3vt","P8UID0VIWEMK9QKua7+Yd44AB","b5_.mrA^jzd","b5;_.mr*fxjzd","b5_.mfxzd","b5_.mrfxZJd",226,218,245,220,310
"m$Uo8<KSozY",">ppij3&=alj","Q6zIu6j0gK3YysUwuMCsiXzho","7CAN/FlHIptEjVX9WmBwAQczT",".$Uo8<cSozY","m$U:oU8<KSozY","m$U<KSozY","m$Uo8<KSZOY",216,62,178,218,287
"f<A=%w`Go5b","#6#nr?5~vt","lbl91KZDTqTCoEUWKz7Jkgbf4","ZnPuSa8SoHYUPHYH4dTQxGPQY","f<A=%w@Go5=","f<YA=%w`GoK5b","f<A=%wGo5","f<A=%W`GO5b",192,135,167,90,241
"epw6>sk^!`~","J-n4mhqdgw","0WURUOBIC/Mrsn5TZxucr3HO4","76QpPcdemgRi9M+6zdypxOHvF","WpwL>sk^!`~","epw6\>sk^!K`~","ep6>sk^!~","EEpw6>sk^!`~",124,245,163,89,216
"(oF*s6uLga{","Ed\ZC8TzpbJ","yYRPNRn+kP6sV7xbcBmON0ZNe","7mpL20xyEOxCiUyBu1520qj8q","(oF*s6mLga6","(oF*zs6urLga{","oF*suLga{","(oF*s6uLGA{",63,218,280,156,289
"rY)/jZl/G4","jzk:bv_Su3","dDcIrn6ihSVEoAZesUd0lLOPz","8+1smQ828SZWFOoprKqtChEYj","!Y)/jZl/N4","rY7)/8jZl/G4","r)/jZl/G","rY)/GZL/J4",85,158,85,104,136
"tLNSmG2v>e","v-$$tex3mX","gbGrv38tL8QqLtgaPQQX/nEGs","dY3BBQF2/9MlEhHr9Pp5V4CIM","t3NSm02v>e","toLNqSmG2v>e","tLNSmG2>","ELNSMG2V>T",146,242,138,344,238
"Oo{zsz}7Mtr","obo<i9x~Ef`","+fcPGMbDT5gbijr1f3MtpKM61","vSm7KOMv9YHCjxhbb8TuXvUHg","Oo{zsz=7Myr","Oo{zsz}|7MKtr","o{zsz}7Mr","RO{ZSZ}7MTo",204,251,107,219,356
"qvOa5cnt<z}","j(1/!/-by$","AE3jCaRzBacV9+E2ssU8yLSQW","ILipd2Vv6cbLqCsBO9cg4qTOO","IvOk5cnt<z}","jqvOa5cnWt<z}","qvO5cntz}","qvOA5Cnt<z}",115,158,188,114,258
"DJjqE&5xH-v","Je?Xfkoxv4og","sk6LpWQ0mzkphMcHX0pEj546D","eagDjGwwQxPDO/w8cMd6KpRLG","DJjqE&5W!-v","DJljqEE&5xH-v","DJjqE&x-v","DJJQE&5xH-v",109,138,99,29,169
"b0srDkxvIm}c","Ww0oArz=xnt","kWZwVWTgMSZwD2Pbla/Iih6R6","miKyHu+4sPALE2Xgm32m7V09A","e0srDkxvImEc","b0srDkxvI<m}Ec","b0rDkxvI}c","b0MRDKXVIS}c",194,175,319,267,378
"e+=ez9*RmlD","2-gzk4f9(7","C1XymNF2SC8tH9HR/PWE67MPS","7K1wSTzvi6BEdzGOcLl/anndu","1T=ez9*RmlD","He+=ez9m*RmlD","e+ez9*RlD","e+=ez9*RmLLD",118,228,306,82,230
"$[dAg4@Nfcq","wJpe6$lI9I","VG6vNBaBHIcZUgN5VQ87/IWxx","cZDB7h7IIrtQUv85psWJs1vQq","$[dA=4;Nfcq","$[d6Ag4@N(fcq","$[dAg@Nfc","$[DAG4@NFCQ",195,267,224,209,244
"?r<gg:}v7O","fmbsbRM2\vP","jSyBFeAha/UK/SuHPf4DV9EXm","HJNQOMWYsSq38dRex7XqmFoXr","Ir<gg3}v7O","?rC<dgg:}v7O","r<gg}v7O","?r<OG:}V7G",141,318,186,353,213
"{C4Ubmu~aQ","E7`8p^tmil","xBKWe/tPYYTPFTkDsNZ/4lkWy","AOqSXtAyxMrh1T9nmauovZUEe","qC4UbNu~aQ","{CC4UbmuB~aQ","{C4bmuaQ","{cc4Ubmu~aQ",105,99,100,165,200
"&5+6I\W.hb","XY?ipx!L2#n","LPUpKgtC2tJSH3qCtBN1eFpYS","bKtJkzlHJfhCNdCLVTXcABhVH","&516I\$.hb","&5+6Ic\EW.hb","5+6IW.hb","&5+6I\W.HB",157,172,141,91,262
"2etfiMch(Nq","tnKs*hUCb8o","seOlAXKYBKNXy2Gv8Ni98d+tb","4eQVRG0Wr3H9sGI1xTHMWE3Cu","2etfiochYNq","2etf""iCMch(Nq","2efich(Nq","2eHFIMCT(Nq",80,93,112,128,135
"tQJud?uhwz1o","f#u9bjm>WgL","ajPb+ce5ugO7AZDbRMdUxIA+h","/RkVTdAWVIRUliGINtim4c4p7","tQJud?ahuz1o","t<QJud?uBhwz1o","QJd?uhwz1o","TQJUD?Uhwz1o",219,181,155,188,297
"o-5bR_twedu",".C6Wlxxi#kY","FOacMx4TBL/CzZVbG8W5JqoOp","qeyH1xG+gi16XBkW7WmYiivZH","o-5tQ_twedu","ao-5bcR_twedu","o-5bRwedu","o-5bR_TWedu",87,227,190,96,243
"dDv$j0rUV%S","knf(g5@lju","RL+317BICU4F29lTMSNaCzha4","i0u5+stwTGfecuEi7DkNGZRel","dDv$~*rUV%S","UdDv$j0rUV[%S","dDv$j0rV%","dDv$j0RUv%S",198,197,188,201,272
"[][9w1h|a;","3fRcNl]zuF","G1kiSFBNPx5GLJv4a0KWY4JKq","9uU9mQRet8Dj5st8X55EYmOKL","[h[9w1h|j;","[][9w1h^|oa;","[][1h|a;","[][9H1W|a;",61,287,104,117,412
"a(@0g\CtOt","l7@vac\}*y;","tbxvX1EgwJYoqJrXoS54O/fyx","BDrldGd4Im/ewt2ZERhZJiTXd","a.@0w\CtOt","a(@d0g\CbtOt","a@0g\COt","a(@0g\CtoT",278,306,160,114,188
"x&9^CtcwjOe","TglkVa.)3nJ","mVve47X6yOwJQ/jYNb/TZq9wW","9zBp4sJK7S06DYdgrrWzICDgb","x&9#Ctc~jOe","wx&9c^CtcwjOe","x&^CtcwjO","x&9^CtcwoJe",144,128,155,99,195
"Hubr>o4xgfm","uVV5+F(%gbV","kSFlsVpuYSNVy23JdzHOq/kRu","tygso0/j8CsdKFy4kfZ5T0o3K","HubN>o4xUfm","Hubr>o4xbgfSm","Hubro4gfm","Hubr>o4XGFM",250,89,246,189,308
"4<7!BnIP\3","1qh*kAhtv5","PQIDqqELVllssMN0QufPuNF2E","g41oasGoLuLKq1iK4Ye6ZErUH","4<W!BniP\3","4<7!BnI)P\13","4<7BnP\3","4<7!NbIP\3",74,84,87,59,118
"]Tbk5zXoU>p","aIupw(4+oz<","7tnn6XlCP/BXQRomI5mUE2/dN","nNGIrpZQeOISjAHczLPw7U5dv","](bk5zKoU>p","]Tbk5]z^XoU>p","]Tbk5XU>p","]TBK5ZXOu>p",73,282,85,199,176
"eS>ggf-n9c?","jdaq[~27*B","EMjeouJSQvUHm+n6OAdKUF6Fo","8UmiTL7gJ6qlbParM9HUG/xnT","DS>ggf-n9G?","eS+>ggfY-n9c?","e>ggf-nc?","eS>ggC-N9F?",73,304,174,106,224
"A^4y=haQw~v","chhp4k:Jibd","9iGf7jbQSc5hj2qtRvikjIRno","7NMEnR8NuVpVbeNPTE3CFSvXw","Am4y=hMQw~v","A^4y=$haQwq~v","A^4haQw~v","A^4Q=HAYw~v",97,164,66,106,236
"d.?(3p+4Q+",">uk(f2xd]t","A1ABODPxbf5JCsimMH3ztQElb","5+TufakovXWdNgFXRKAii6iz+","d.?(Op+4J+","d.?(3pM+i4Q+","d.?(3+4Q","Q.?(3P+4D+",145,303,153,165,158
"Ihe^3LsJzGgd","VM!4eJ:Py$]","ZNB2euFyStCDlC6cV6XRv6CZf","pk3zX71iiBZVNrV5SXDXjg6Qv","Ih~^3LsJzGg*","Ihe^32L[sJzGgd","Ihe3LsJGgd","IHE^3LsJzGgd",189,126,278,161,361
"6}cbxdkdWzTk","MT`+f6qelrq","A5dZ39Abz+iXS2wLyM5dJowrO","aS0dKyow9UbFgJrioH/1tr6EB","6}cIxdkd[zTk","6U}wcbxdkdWzTk","6}bdkdWzTk","6}cbKDKDWZTX",147,126,63,103,279
"dcB5poary|","=c1#a)e$z}","T89pOkCF5ebHmKjw7EgdQ8ikK","58ilq4I620FWJwtU/NQZ+R7rs","dcB5poa@y~","dpcB5poaryz|","dcB5par|","PCB5Doary|",95,188,135,153,202
":`us!l9gyZ","`8*`DvBatZ","+M1F5bK6dYTb/uiO6OGJGz/Nd","a7crhaPnVOZ73cvWGyHFghUTd",":Sus!l;gyZ",":-`bus!l9gyZ",":`sl9gyZ",":`us!l9gyzz",228,177,295,99,365
"Ed7BTpzx?pe","AidEmGxs\a2r","fUz4oqiknUftDeebY0hs9IsQh","9GQJIqaynfUSRWxPzsO1DmmXB","EdyBTpzx?le","Ed70BTpzxL?pe","EdBTpx?pe","Ed7BTpzE?PX",63,72,156,183,217
"n&3YaT{;vuw","ImtOckT]1e","Q9orQMZ4qbIIzsPN6cUJtUmjg","7RUZ/rVQNYuLTSNrJqvxdzMcv","n&LYaT{;v%w","n&`3YaT{;Rvuw","n&3YaT{;v","N&3YAt{;vuw",82,243,72,161,144
"f*Wj}9YT%mj","oO$knosb0au","4J6VNc24c4l2mmP9qRhTFLq9s","MXlpQI0iS5zDROzvBrAARFy07","fOWj}9YT%~j","f%*fWj}9YT%mj","f*W}9YTmj","F*WJ}9YT%mj",56,137,136,127,137
"qB-ck:7knYn","yTaqhw1|bZ","i+kjmPip7MvtDbIx8xKUAC07Y","7ga1tgFRwrMPqKF1I0l/j8fNF","qB-ck:7cnYL","RqBx-ck:7knYn","qB-ck7kYn","qB-CK:7KNYn",188,88,234,303,276
"5[cgCbWe2p",";pD2zkxwtiwS","74M9TvfWQNOtKEyhLoGSuGrSy","QGUC/qoAXV/Fvk2KO12fgB+2P","n[cgCbCe2p","5[hcgCbWeK2p","[cgCbe2p","5[cgPBWE2c",120,162,163,210,228
"~lGF`*u3fb","sta)eid8$/","214cSHPJLgsujCmjGv6LT4IfW","PCVrYfRJW4qM3hT6wUN2CO5c5","olGF`0u3fb","~l_G(F`*u3fb","~lGF`ufb","~lGF`*U3Fb",164,160,109,72,261
")=)?|l;kx1","bi3xxrrP_v_","yYpT+zoyPvvu5A6HaFrjBYfkn","PgLeXH+YS32xtsxYBItHzr0Qi",")=x?|l;Qx1",")=)?$|l;(kx1","))?|l;k1",")=)?|LL;kx1",122,236,290,280,214
"Akt~Gg4?ST","bk@@Mj`ti9<","5AWK2VBQfj6N7FJdRv7lopjto","6hszc2TAJsYVV5JcvYM7XLC7E","Aka~Gg4?S0","Akzt~Gg4?dST","At~Gg4ST","Akt~SG4?gT",88,147,113,132,165
"uxt:nv@4rkJ","]7C2xyef/v","ZUdqzyCCcawQ5UR9BsmD4H7c4","WQ2EzDaXUzBZrvGLsOMawUTxu","#xt:nv@4r}J","]uxt:nv@4rk<J","ut:nv@rkJ","uXT:NV@4rkJ",238,206,304,213,262
"?=2gyZV*VPe",">0Kpl;t.rD.","+q83g2OB/MZQki7CGW2HEQGxA","/QGN2jeXLl0j2Em4HGe8ZhorR","?=2gyZ~*tPe","?=2gkyZtV*VPe","?2yZV*VPe","?=2gyZV*pve",139,210,170,85,209
";ynyfs--2uS","fTroj0k`y^","oVevdQlOrofl/jZvJjM6MkbWE","yo2mEKc9Aim/MRAAkL14mq5dk",";ye*fs--2uS","+;ynyfs--2u+S",";nfs--2uS",";ynSFY--2uS",79,212,90,87,321
"rV5@m]Augu","9*Py~\ef:]","8aducJydE78NUms8y9P3iwC8C","qCAPRP4ozY3C9zmLGNaIjo6UK","rV#tm]Augu","rV5@m{]Aubgu","rV5m]ugu","rV5@M]AUgu",72,180,89,75,136
"Jp}c*/^[(1%","Hcx0;wb)(La","4Q5qnuKKQuo8UVN33qI9I4wkR","TkMVn5Ti722jdG+KExNJlS3Xe","Hp}c*/G[(1%","Jp~}c*B/^[(1%","Jp}c*^[(1","Pj}c*/^[(1%",170,290,306,113,113
