"Password","incorrect","prefixSalt","suffixSalt","oneSubstitution","oneInsertion","oneDeletion","oneCapMistake","oneSubstitutionDifference","oneInsertionDifference","oneDeletionDiffernce","oneCapDifference","incorrectDifference"
"dysdb#g1fQV","wg;:R4s_;bj","nFCVlViKz05qH9/YPK1VRBn4p","Tasbg0lqEFVTgaAnWjBfyPfa1","dyYdb#g1fQV","dNysdb#g1fQV","dysdbg1fQV","dysdb#G1fQV",171,163,180,82,358
"hLMug0~$Oq","l3r;vpXqwv","DoXdhsGnMc6Q296RP/Yvy0CwM","k0aRiilZh4n53WvU9eamZgouI","hLMug0~$Lq","hLMug0S~$Oq","hLMg0~$Oq","hlMug0~$Oq",65,73,79,52,340
"B_x3uWo-bn","x\2jJz|<To(","V/49NkInm7U9TK2kHylBLi5gB","1r5JGAZqRfmqvyP35sndKHWDk","t_x3uWo-bn","B_Ux3uWo-bn","B_x3uWo-b","B_x3uWO-bn",90,38,57,36,203
"kxyV#peez0tj","_.cKanCbd9{","VEO/rjRJY4ILfgtNhx2BWvGRK","VLjr9Q8+gTXY5A+BM0G7fwT4s","JxyV#peez0tj","/kxyV#peez0tj","kxyV#pez0tj","kxyV#peeZ0tj",96,48,180,173,291
"2f!k%dnwks","DR^ce7TNtnm","7d3zcZtFzJCZOLqp47Ai8CWJa","4lBjPNxkHRqIwR2BKjc9oztRx","2f!Z%dnwks","2f!Mk%dnwks","2f!k%dwks","2f!k%Dnwks",74,98,82,52,190
"qGqlof+ixj4","if1f$S-Rt)z","qU2DyUh9iLYWd9bb0cY3PeCsB","GrbftrlIoFkXooDbamxdTK3pt","q+qlof+ixj4","qGqlof+ixj54","qGqlo+ixj4","qGqloF+ixj4",148,115,249,66,279
"nBs6#sunhpwA","jtbdmg~1m%<","w8OdQY6hGptdm7EZZtonZocUh","zqmWLJkl+coX7WkBLIddKOZCE","nB/6#sunhpwA","nBs6#s`unhpwA","nB6#sunhpwA","nBs6#sunhPwA",59,66,64,66,393
"Exs9XsMs#FZ","5n#(!izqpe]","d0FfQm6pa+TdcfWOwO7G/4pVv","djtgUokwHHZoFl+F1t+phQblp","Axs9XsMs#FZ","Exs9BXsMs#FZ","Exs9XsMsFZ","ExS9XsMs#FZ",143,68,169,168,266
"0fs%)jjv\9","^NqqE71s)/","7cATp0msEL7d1Uk2aTHYawYaD","6p7wJIqJbb2C9+4l0kG3pyZLy","0fs%)>jv\9","0fs%)j#jv\9","0fs%)jv\9","0fS%)jjv\9",55,80,40,53,161
"7@rs+UhgRae","tvl=d5.oy((","RHg7PvHIlU8TtLpnhtjiQaWCh","TZbz8qlNlFWqMXdRJBSCPDjRt","7@rs+UhgRae","7@rs+UhgHRae","7@rs+UgRae","7@rs+UHgRae",0,87,266,44,220
"4-fuadweH!g","7eW$nwMljwfu","wtzfXcbp+L1IseD1IHj5RVRFF","dk4n4zpUfoiD6+6HuaSD/Qhlw","4-fuaFweH!g","4-fuadweH!Tg","4-fuadeH!g","4-fuadweh!g",44,158,174,49,272
"|vkE}]s0Ct","1Zk+Wjgzkg","6OwTpomLNMjQ+fDqOPtcqk5UF","KcJtVWQkhp9QnN5ygzWeJdLru","$vkE}]s0Ct","|vkE}]sg0Ct","vkE}]s0Ct","|VkE}]s0Ct",64,66,79,52,172
"zlyj|ugd5Ox","n86suj6^^P","i/QYwdAT6UYECK1jnxNJQfK28","mYe1PGkCrfTR7OuLJUzrnmF3R",")lyj|ugd5Ox","zlyj|ugdN5Ox","zlj|ugd5Ox","zlYj|ugd5Ox",60,76,47,75,429
"0?x9S!z4nv","|:eaI#!a(4","LB2vSH2LhekXfr+cmcjbd8rhH","ka1yEaa/cdrLz0/tE/ENN9sIc","0?!9S!z4nv","0?x9S!z4n[v","0?x9S!z4n","0?x9S!Z4nv",73,107,135,141,216
"L^TW/3stYpI","|W@ga4csnqr","NoYdbNiW+PDS0T6jUWZO5Hd2b","PDinvhi/tvhsNf8JP7YlMT69z","L^TW/3s_YpI","iL^TW/3stYpI","L^TW/stYpI","L^TW/3stYpi",244,242,127,232,256
"3mZNrF{znw","Dfm8m6mW-BZ","2cQhamak1GtF76OyYKlOu9hhi","P/C+JAeadAffMJYTZDmGAP0Jn","3mZNBF{znw","3mZMNrF{znw","3mZNrF{zw","3mZNRF{znw",64,82,73,71,337
"i3BpV7Zsq=o","f\X5vRTGpT","ggocua53ODYwSvbiNUs3FIJow","8xE7k7FM/1UzjF0B9W7CcWJFO","i3BmV7Zsq=o","i3BpV7Z:sq=o","i3BpV7Zsqo","I3BpV7Zsq=o",239,213,80,38,197
">k+fsr0Mcd","Bot8mu*(qob","7q4Rpa/qXQDteFxpaGo6gHZcs","soMbIwczBwA7fkIIGp80pzwWA",">i+fsr0Mcd",">k+fsr0MHcd",">kfsr0Mcd",">k+Fsr0Mcd",22,116,112,31,182
"?u8h6[v^hE","/rkz:3<:mZ.","Bw4eyl1qQ0f8REAP/53FUVGxi","yoYBqIyxpgSn5Qd8ZrlrB7gms","?u8z6[v^hE","Z?u8h6[v^hE","?u86[v^hE","?u8H6[v^hE",85,127,78,88,193
"j2h0qIoue&","r<DEx@vDh9","CApudtijfWq8EkPXhEahPmE7G","/1tgms3AF48XPqVsZGi73VWBT","j2hJqIoue&","j2hG0qIoue&","j2h0qIoe&","j2H0qIoue&",66,48,50,32,235
"<HTGJyk6#Sr","txv3.E8a{n","u+FXJpeSpjxCDbqgvOGaB3rr5","hl0207iOmVaxHyNH+bRRS84fX","<HTG5yk6#Sr","<HTGJy|k6#Sr","<HTGJyk6#r","<HTGJyk6#SR",44,174,242,81,292
"fccelu.gy8","&A;tH.+g53","RBmvA/M5y1GCRhitGXsRv4CCl","p+HDEOAQC6y/Y4KyxmgS5o1i7","fccelu^gy8","fccAelu.gy8","fccelugy8","fccelu.gY8",67,198,111,94,201
"z!D-gZ0aQ?","?dFiioa]e7B","ScgCNmuoiM8Bgr8eMESqkPyet","Aj+GosApNyQi6vsV7zNJib8Fw","L!D-gZ0aQ?","z!D-zgZ0aQ?","!D-gZ0aQ?","z!D-gZ0AQ?",110,57,136,59,219
"f!E0z}quoL","zgunZt~8mqS","FmhFnq+zmvOJF7nezRQ+fk8oL","cdlvp8ZgQwsEFTDrwaLZ5dwnh","f!E0z}quoj","f!E0zy}quoL","f!E0z}qoL","f!E0z}QuoL",33,36,69,55,135
"0o~q|?tm@[","ez@9g:L`g~","8DOi+pZWhx05lSwIVMe1r6wJh","8HgYtD+mzpD1WhzUE4rb3jEyM","0o~q|?t>@[","0mo~q|?tm@[","0o~q|tm@[","0o~q|?tM@[",38,154,58,41,216
"vvQ6=bsa9!","w?2+jlG*d5","DAbUuU4pVYad7gF+sXjb1prdJ","qdn61vpQGFYIlOsDZNpE5PHwc","ivQ6=bsa9!","IvvQ6=bsa9!","vvQ6=bs9!","vvq6=bsa9!",49,259,68,35,199
"o9d;pyzi/RV","-U68zV>KUf","qNYbQaijkvh3dFL8by3iY0pzt","BWrc/n4i7Cdfzgzzee81fKsXJ","o9d;py=i/RV","os9d;pyzi/RV","o9;pyzi/RV","o9d;pyZi/RV",13,148,59,128,165
"cU4wV<x:vR$","yS!dm9cr#je","TcHhP9YY5GrYWbrmXzAEAC3pk","J8/H4CxFqIarYHeRtCi8HdoUa","cU4wV<=:vR$","cU4wV<x:|vR$","cU4wVx:vR$","cU4wV<x:VR$",60,231,70,176,231
"fdpunY4csw|J","d6s8n-<giu","6ffHvBzBAIsX9MD8t4sI1sT8/","mJ/luZrzJGB3DkMwUA9K4AxP4","fdpunY4cs*|J",";fdpunY4csw|J","fdpunY4cw|J","fdpunY4Csw|J",40,94,173,119,213
"eGfoUa@WL5v","9G{cd}H?#p","0ID+7UNadX2RV0QhnyDKiCfy2","YKl9faLcwYjv/lNGYmdCw9rWD","eGfoUa@WL5I","eGfoUao@WL5v","GfoUa@WL5v","eGfoUa@WL5V",48,168,225,130,252
"E@cwqrAUSV9",">]ftz^j(x2m","9cBJiVwT9R8T7zK1BNwOx+ddh","9PgfsGI6sfgAJL0rhdLZKyEcK","E@cqqrAUSV9","E@cwqrAUSVK9","E@wqrAUSV9","E@cwqrAuSV9",148,125,240,243,273
"#v}BDTmin9","Fz0odn6ai)","3VGOZ/GCIGkbGfFQsNEuOLibW","Y8OJ/NOIOZCt2ckZuj56blbgA","Ev}BDTmin9","#v}BDTmign9","#v}BDTmn9","#v}BDTMin9",55,133,52,34,132
"\r?eW!.o1~","t{vj6Vpvuzz","kPtY/FY8+DwgZmR1oxyxLX7Z4","1GkndvS/g/ISXdUX16jj1BbpS","\r?eW!.o1L","\r?e_W!.o1~","\reW!.o1~","\r?eW!.O1~",60,31,48,50,135
"Y#!BgOXu3h^","-UG2en\d:&]","oAcydoXJGAtb7gXpXsYlhzha/","ex4E2OFylfXQQc+AhSrYjyhZz","Y'!BgOXu3h^","Y#!BgO*Xu3h^","Y#!BgXu3h^","Y#!BGOXu3h^",73,50,43,126,219
"v\4Dc+$na+m","of8agR|gmP","UpdcVzuEvde2YRdXeeA9/miNm","MYPvVBcLmAUAwq9grxIi9gcS6","v\4Dc+Cna+m","Ev\4Dc+$na+m","v\Dc+$na+m","v\4Dc+$na+M",76,79,247,143,400
"[CURC5ePMOE","kz3Nonou;w!","2fA1bDl8ouhwcIKHCLCha8UKd","eeZ7riB5skGFS74XgoG2KVeOv","[CURC5ePMOY","[CURC5eP-MOE","[CURC5ePMO","[cURC5ePMOE",70,176,84,42,220
"b5_.mrfxjzd","%xFQdCe9Um","IfTcq2hhZMRCQ1XABBGddW3vt","P8UID0VIWEMK9QKua7+Yd44AB","b}_.mrfxjzd","b5_.mrfvxjzd","b5_.mrfjzd","b5_.mrFxjzd",163,73,96,69,310
"m$Uo8<KSozY",">ppij3&=alj","Q6zIu6j0gK3YysUwuMCsiXzho","7CAN/FlHIptEjVX9WmBwAQczT","m$Uh8<KSozY","nm$Uo8<KSozY","m$Uo8<KozY","m$Uo8<KSoZY",173,50,158,30,287
"f<A=%w`Go5b","#6#nr?5~vt","lbl91KZDTqTCoEUWKz7Jkgbf4","ZnPuSa8SoHYUPHYH4dTQxGPQY","f<AK%w`Go5b","f<A=%Pw`Go5b","fA=%w`Go5b","f<a=%w`Go5b",181,172,159,35,241
"epw6>sk^!`~","J-n4mhqdgw","0WURUOBIC/Mrsn5TZxucr3HO4","76QpPcdemgRi9M+6zdypxOHvF","epw6>sks!`~","epw63>sk^!`~","epw6sk^!`~","ePw6>sk^!`~",85,191,73,112,216
"(oF*s6uLga{","Ed\ZC8TzpbJ","yYRPNRn+kP6sV7xbcBmON0ZNe","7mpL20xyEOxCiUyBu1520qj8q","(oF*s6uL~a{","({oF*s6uLga{","(oFs6uLga{","(oF*s6ulga{",123,269,136,26,289
"rY)/jZl/G4","jzk:bv_Su3","dDcIrn6ihSVEoAZesUd0lLOPz","8+1smQ828SZWFOoprKqtChEYj","rY)/jql/G4","rY-)/jZl/G4","rY)jZl/G4","rY)/jzl/G4",41,91,59,59,136
"tLNSmG2v>e","v-$$tex3mX","gbGrv38tL8QqLtgaPQQX/nEGs","dY3BBQF2/9MlEhHr9Pp5V4CIM","tLNSmG2v#e","tLNSmG2v>|e","tLNSmG2ve","tLNSmG2v>E",90,253,119,38,238
"Oo{zsz}7Mtr","obo<i9x~Ef`","+fcPGMbDT5gbijr1f3MtpKM61","vSm7KOMv9YHCjxhbb8TuXvUHg","OoSzsz}7Mtr","Oo{zsz}_7Mtr","Oo{zs}7Mtr","OO{zsz}7Mtr",92,250,88,107,356
"qvOa5cnt<z}","j(1/!/-by$","AE3jCaRzBacV9+E2ssU8yLSQW","ILipd2Vv6cbLqCsBO9cg4qTOO","qvOa5cn8<z}","qv%Oa5cnt<z}","vOa5cnt<z}","qvOa5cnt<Z}",70,245,139,80,258
"DJjqE&5xH-v","Je?Xfkoxv4og","sk6LpWQ0mzkphMcHX0pEj546D","eagDjGwwQxPDO/w8cMd6KpRLG","\JjqE&5xH-v","DJjqE&5xH*-v","JjqE&5xH-v","DjjqE&5xH-v",32,69,34,38,169
"b0srDkxvIm}c","Ww0oArz=xnt","kWZwVWTgMSZwD2Pbla/Iih6R6","miKyHu+4sPALE2Xgm32m7V09A","b06rDkxvIm}c","b0srDkLxvIm}c","b0srDxvIm}c","B0srDkxvIm}c",220,44,253,141,378
"e+=ez9*RmlD","2-gzk4f9(7","C1XymNF2SC8tH9HR/PWE67MPS","7K1wSTzvi6BEdzGOcLl/anndu","e+=ez9qRmlD","e+=ez9*RmlkD","e+=ez9*RmD","E+=ez9*RmlD",60,166,246,66,230
"$[dAg4@Nfcq","wJpe6$lI9I","VG6vNBaBHIcZUgN5VQ87/IWxx","cZDB7h7IIrtQUv85psWJs1vQq","$[dA_4@Nfcq","$[dAgq4@Nfcq","$[dAg4@Nfc","$[dAG4@Nfcq",134,79,163,86,244
"?r<gg:}v7O","fmbsbRM2\vP","jSyBFeAha/UK/SuHPf4DV9EXm","HJNQOMWYsSq38dRex7XqmFoXr","?r<gg:}v7c","~?r<gg:}v7O","?rgg:}v7O","?r<gG:}v7O",56,224,85,102,213
"{C4Ubmu~aQ","E7`8p^tmil","xBKWe/tPYYTPFTkDsNZ/4lkWy","AOqSXtAyxMrh1T9nmauovZUEe","{C4UbmuFaQ","{C4Ubmu%~aQ","{C4Umu~aQ","{C4Ubmu~aq",31,53,47,65,200
"&5+6I\W.hb","XY?ipx!L2#n","LPUpKgtC2tJSH3qCtBN1eFpYS","bKtJkzlHJfhCNdCLVTXcABhVH","&5+6I\W.Ob","&5+6I\W.h6b","&5+6IW.hb","&5+6i\W.hb",48,263,67,67,262
"2etfiMch(Nq","tnKs*hUCb8o","seOlAXKYBKNXy2Gv8Ni98d+tb","4eQVRG0Wr3H9sGI1xTHMWE3Cu","2etfiMcc(Nq","2etfiMch({Nq","2etfiMch(N","2etfimch(Nq",31,41,60,46,135
"tQJud?uhwz1o","f#u9bjm>WgL","ajPb+ce5ugO7AZDbRMdUxIA+h","/RkVTdAWVIRUliGINtim4c4p7","tQKud?uhwz1o","tQJTud?uhwz1o","tQud?uhwz1o","tqJud?uhwz1o",72,114,118,44,297
"o-5bR_twedu",".C6Wlxxi#kY","FOacMx4TBL/CzZVbG8W5JqoOp","qeyH1xG+gi16XBkW7WmYiivZH","o-5bR_thedu","o-5bR_twQedu","o-5bR_wedu","O-5bR_twedu",153,193,192,57,243
"dDv$j0rUV%S","knf(g5@lju","RL+317BICU4F29lTMSNaCzha4","i0u5+stwTGfecuEi7DkNGZRel","d_v$j0rUV%S","dDvo$j0rUV%S","Dv$j0rUV%S","ddv$j0rUV%S",140,70,181,142,272
"[][9w1h|a;","3fRcNl]zuF","G1kiSFBNPx5GLJv4a0KWY4JKq","9uU9mQRet8Dj5st8X55EYmOKL","[][9w1hHa;","[][9w1hA|a;","][9w1h|a;","[][9w1h|A;",61,31,83,45,412
"a(@0g\CtOt","l7@vac\}*y;","tbxvX1EgwJYoqJrXoS54O/fyx","BDrldGd4Im/ewt2ZERhZJiTXd","a(@0g\Ctgt","ax(@0g\CtOt","a@0g\CtOt","a(@0g\ctOt",94,115,71,226,188
"x&9^CtcwjOe","TglkVa.)3nJ","mVve47X6yOwJQ/jYNb/TZq9wW","9zBp4sJK7S06DYdgrrWzICDgb","x&9^C[cwjOe","x&9^CtcrwjOe","x&9CtcwjOe","x&9^CtcwJOe",42,56,62,92,195
"Hubr>o4xgfm","uVV5+F(%gbV","kSFlsVpuYSNVy23JdzHOq/kRu","tygso0/j8CsdKFy4kfZ5T0o3K","&ubr>o4xgfm","Hubr>o4x>gfm","Hub>o4xgfm","HuBr>o4xgfm",46,73,171,169,308
"4<7!BnIP\3","1qh*kAhtv5","PQIDqqELVllssMN0QufPuNF2E","g41oasGoLuLKq1iK4Ye6ZErUH","f<7!BnIP\3","4<7&!BnIP\3","<7!BnIP\3","4<7!bnIP\3",51,57,120,56,118
"]Tbk5zXoU>p","aIupw(4+oz<","7tnn6XlCP/BXQRomI5mUE2/dN","nNGIrpZQeOISjAHczLPw7U5dv","]T%k5zXoU>p","]Tbk5zXoAU>p","]Tb5zXoU>p","]Tbk5zXOU>p",71,259,54,196,176
"eS>ggf-n9c?","jdaq[~27*B","EMjeouJSQvUHm+n6OAdKUF6Fo","8UmiTL7gJ6qlbParM9HUG/xnT","eS>ggT-n9c?","eS>ggf-n9cV?","eS>ggf-n9?","eS>ggf-n9C?",105,72,72,53,224
"A^4y=haQw~v","chhp4k:Jibd","9iGf7jbQSc5hj2qtRvikjIRno","7NMEnR8NuVpVbeNPTE3CFSvXw","A^4y=h2Qw~v","A^4y=haQw}~v","A^y=haQw~v","A^4Y=haQw~v",45,125,58,61,236
"d.?(3p+4Q+",">uk(f2xd]t","A1ABODPxbf5JCsimMH3ztQElb","5+TufakovXWdNgFXRKAii6iz+","d.?(3p+4j+","d.?(63p+4Q+",".?(3p+4Q+","d.?(3P+4Q+",72,142,82,66,158
"Ihe^3LsJzGgd","VM!4eJ:Py$]","ZNB2euFyStCDlC6cV6XRv6CZf","pk3zX71iiBZVNrV5SXDXjg6Qv","Ihe^3LsJXGgd","Ihe^|3LsJzGgd","Ihe^3LsJGgd","Ihe^3lsJzGgd",102,124,233,136,361
"6}cbxdkdWzTk","MT`+f6qelrq","A5dZ39Abz+iXS2wLyM5dJowrO","aS0dKyow9UbFgJrioH/1tr6EB","6}cbxdkdWtTk","6}cdbxdkdWzTk","6}cbxdkWzTk","6}cBxdkdWzTk",147,162,50,156,279
"dcB5poary|","=c1#a)e$z}","T89pOkCF5ebHmKjw7EgdQ8ikK","58ilq4I620FWJwtU/NQZ+R7rs","dcB5poHry|","dcB5pMoary|","dcB5pary|","dcB5Poary|",55,97,95,95,202
":`us!l9gyZ","`8*`DvBatZ","+M1F5bK6dYTb/uiO6OGJGz/Nd","a7crhaPnVOZ73cvWGyHFghUTd",":`us!l91yZ",":`us!l;9gyZ",":`s!l9gyZ",":`us!L9gyZ",243,90,70,190,365
"Ed7BTpzx?pe","AidEmGxs\a2r","fUz4oqiknUftDeebY0hs9IsQh","9GQJIqaynfUSRWxPzsO1DmmXB","E{7BTpzx?pe","Ed7BTpzx)?pe","Ed7BTpx?pe","Ed7Btpzx?pe",155,34,128,47,217
"n&3YaT{;vuw","ImtOckT]1e","Q9orQMZ4qbIIzsPN6cUJtUmjg","7RUZ/rVQNYuLTSNrJqvxdzMcv","nv3YaT{;vuw","n&3YaT{;v)uw","&3YaT{;vuw","n&3YaT{;vUw",114,26,76,84,144
"f*Wj}9YT%mj","oO$knosb0au","4J6VNc24c4l2mmP9qRhTFLq9s","MXlpQI0iS5zDROzvBrAARFy07","f*Wj}9YT%mf","f*Wj}9YT%dmj","f*Wj}9YTmj","f*wj}9YT%mj",42,156,65,52,137
"qB-ck:7knYn","yTaqhw1|bZ","i+kjmPip7MvtDbIx8xKUAC07Y","7ga1tgFRwrMPqKF1I0l/j8fNF","qB-co:7knYn","qB-ckl:7knYn","qB-ck:7nYn","qb-ck:7knYn",166,66,220,165,276
"5[cgCbWe2p",";pD2zkxwtiwS","74M9TvfWQNOtKEyhLoGSuGrSy","QGUC/qoAXV/Fvk2KO12fgB+2P","5[cgCbW'2p",":5[cgCbWe2p","5[cgCbWep","5[cgCbwe2p",58,196,104,83,228
"~lGF`*u3fb","sta)eid8$/","214cSHPJLgsujCmjGv6LT4IfW","PCVrYfRJW4qM3hT6wUN2CO5c5","~lGF`*uofb","~lJGF`*u3fb","~lG`*u3fb","~lGF`*U3fb",29,41,64,39,261
")=)?|l;kx1","bi3xxrrP_v_","yYpT+zoyPvvu5A6HaFrjBYfkn","PgLeXH+YS32xtsxYBItHzr0Qi",")=)?|l;kx[",")=)?|sl;kx1",")=)?|l;x1",")=)?|L;kx1",238,81,262,242,214
"Akt~Gg4?ST","bk@@Mj`ti9<","5AWK2VBQfj6N7FJdRv7lopjto","6hszc2TAJsYVV5JcvYM7XLC7E","AktLGg4?ST","Akt~hGg4?ST","kt~Gg4?ST","akt~Gg4?ST",32,44,100,97,165
"uxt:nv@4rkJ","]7C2xyef/v","ZUdqzyCCcawQ5UR9BsmD4H7c4","WQ2EzDaXUzBZrvGLsOMawUTxu","uxtRnv@4rkJ","uxt:nv@4r.kJ","uxt:nv@4rk","uxt:nv@4RkJ",57,261,162,72,262
"?=2gyZV*VPe",">0Kpl;t.rD.","+q83g2OB/MZQki7CGW2HEQGxA","/QGN2jeXLl0j2Em4HGe8ZhorR","?=2g}ZV*VPe","?=2gy%ZV*VPe","=2gyZV*VPe","?=2gyZv*VPe",74,169,127,87,209
";ynyfs--2uS","fTroj0k`y^","oVevdQlOrofl/jZvJjM6MkbWE","yo2mEKc9Aim/MRAAkL14mq5dk",";+nyfs--2uS",";ynyfs--M2uS",";nyfs--2uS",";ynYfs--2uS",244,58,79,56,321
"rV5@m]Augu","9*Py~\ef:]","8aducJydE78NUms8y9P3iwC8C","qCAPRP4ozY3C9zmLGNaIjo6UK","rV5@v]Augu","rV5@m]AuVgu","rV5@m]Aug","rV5@M]Augu",50,83,183,42,136
"Jp}c*/^[(1%","Hcx0;wb)(La","4Q5qnuKKQuo8UVN33qI9I4wkR","TkMVn5Ti722jdG+KExNJlS3Xe","Jp}c*/^/(1%","Jp}:c*/^[(1%","Jp}c*/^(1%","Jp}C*/^[(1%",119,245,43,98,113
